iter	RMSE
0	149577.6664
1	149245.5014
2	148958.6759
3	148629.7095
4	148321.3425
5	148032.6218
6	147777.5491
7	147520.1024
8	147253.3011
9	147014.7467
10	146788.5545
11	146562.8523
12	146334.9149
13	146115.9453
14	145891.2166
15	145679.9603
16	145494.0731
17	145277.4955
18	145129.5839
19	144930.2726
20	144714.6646
21	144540.9279
22	144406.8976
23	144197.6342
24	144027.2866
25	143851.5291
26	143672.5757
27	143512.7281
28	143319.2307
29	143148.5177
30	142948.8388
31	142750.228
32	142638.8939
33	142505.9187
34	142369.5805
35	142225.2485
36	142044.3541
37	141876.5508
38	141709.0545
39	141573.3708
40	141385.7969
41	141205.7643
42	141079.0672
43	140923.0336
44	140768.9049
45	140723.2568
46	140569.0375
47	140438.8388
48	140289.6622
49	140132.68
50	139958.83
51	139791.6651
52	139614.6396
53	139451.4251
54	139304.7629
55	139172.4915
56	139016.2771
57	138907.1435
58	138803.2538
59	138674.7643
60	138528.2024
61	138430.4278
62	138261.564
63	138100.257
64	137971.4134
65	137832.2704
66	137681.0012
67	137547.8345
68	137410.3668
69	137294.2666
70	137172.559
71	137056.1478
72	136908.3917
73	136753.8714
74	136629.8352
75	136491.9908
76	136331.7823
77	136187.0947
78	136026.4509
79	135889.7414
80	135740.9707
81	135643.513
82	135495.091
83	135367.1944
84	135225.8534
85	135107.1998
86	134974.0172
87	134845.204
88	134825.7182
89	134679.022
90	134586.6469
91	134482.9157
92	134339.6222
93	134204.7339
94	134109.2895
95	133983.9396
96	133889.6734
97	133760.967
98	133619.0698
99	133495.4175
100	133379.5754
101	133259.8091
102	133134.4949
103	133048.8769
104	132905.4791
105	132768.6957
106	132657.4768
107	132534.9532
108	132429.5238
109	132310.7661
110	132251.1702
111	132131.3458
112	132051.2959
113	131919.266
114	131814.9636
115	131737.9101
116	131636.771
117	131499.3171
118	131366.9921
119	131273.1897
120	131167.8681
121	131021.4369
122	130933.866
123	130832.2218
124	130709.7498
125	130589.0804
126	130488.0107
127	130444.6827
128	130339.2034
129	130250.4201
130	130116.5589
131	130024.5838
132	129942.1085
133	129830.2125
134	129722.0767
135	129652.1415
136	129573.5341
137	129469.3936
138	129408.975
139	129279.6636
140	129195.4876
141	129086.2599
142	129012.551
143	128945.0107
144	128844.1622
145	128699.6886
146	128562.7995
147	128444.4019
148	128385.6609
149	128244.4909
150	128136.643
151	128025.1506
152	127957.766
153	127900.4053
154	127820.6713
155	127739.4337
156	127651.5199
157	127588.8563
158	127470.0611
159	127351.451
160	127260.0676
161	127163.9125
162	127085.8746
163	126983.1958
164	126854.4444
165	126746.2475
166	126623.8035
167	126542.1021
168	126420.9303
169	126307.9447
170	126206.3616
171	126127.7653
172	126040.1698
173	125954.1471
174	125881.1288
175	125757.0515
176	125678.0489
177	125570.3402
178	125463.8665
179	125349.7959
180	125289.7649
181	125184.7523
182	125109.2291
183	125000.8872
184	124882.3092
185	124762.1805
186	124685.7337
187	124608.5671
188	124569.9637
189	124463.4884
190	124394.7259
191	124311.9631
192	124254.9605
193	124163.5129
194	124073.0528
195	124005.1006
196	123934.7867
197	123842.5806
198	123800.2863
199	123738.4401
200	123656.0914
201	123539.323
202	123463.7254
203	123372.1834
204	123273.1251
205	123181.2389
206	123090.0894
207	122990.6268
208	122901.2731
209	122819.1218
210	122718.7341
211	122623.8353
212	122558.5753
213	122472.9743
214	122375.3632
215	122274.3352
216	122172.7602
217	122070.3134
218	121974.0704
219	121861.9759
220	121781.6697
221	121716.745
222	121652.9881
223	121578.632
224	121496.9727
225	121420.7867
226	121332.7551
227	121238.6865
228	121165.4243
229	121093.1159
230	120997.0388
231	120916.2249
232	120836.2477
233	120776.8831
234	120713.7481
235	120690.1678
236	120615.9965
237	120529.3894
238	120445.7738
239	120360.1233
240	120284.4015
241	120218.1929
242	120123.7904
243	120046.8635
244	119964.4308
245	119887.7607
246	119815.892
247	119742.6336
248	119649.3645
249	119576.3987
250	119520.9002
251	119463.4984
252	119379.8446
253	119290.4473
254	119216.1284
255	119140.5457
256	119105.0047
257	119024.539
258	118953.6835
259	118899.5512
260	118812.8692
261	118703.7838
262	118606.8246
263	118509.6321
264	118425.2161
265	118386.7607
266	118317.7051
267	118207.8681
268	118144.8214
269	118094.7636
270	117997.9394
271	117925.8848
272	117836.5276
273	117771.8575
274	117701.0639
275	117645.0333
276	117586.1766
277	117526.3093
278	117441.8727
279	117386.0589
280	117303.5466
281	117216.3134
282	117132.247
283	117023.8998
284	116954.1014
285	116876.4726
286	116784.9422
287	116688.6757
288	116604.353
289	116533.5035
290	116458.5484
291	116375.2996
292	116352.1817
293	116299.8223
294	116197.5241
295	116154.0426
296	116122.1874
297	116058.6971
298	115966.7714
299	115873.3231
300	115783.9544
301	115701.7084
302	115665.3018
303	115580.6919
304	115520.1372
305	115482.1015
306	115385.3485
307	115295.7957
308	115223.7234
309	115163.3927
310	115121.2142
311	115042.7757
312	114964.2701
313	114880.4438
314	114807.1681
315	114722.5538
316	114656.8818
317	114616.0955
318	114556.3959
319	114457.1922
320	114402.9883
321	114376.9359
322	114301.6239
323	114250.9014
324	114208.3229
325	114147.4566
326	114105.1783
327	114048.9599
328	113981.8774
329	113909.1761
330	113842.4669
331	113773.2378
332	113694.7117
333	113639.2603
334	113592.4242
335	113521.3996
336	113483.4696
337	113411.269
338	113383.0815
339	113313.1745
340	113238.9241
341	113173.0798
342	113088.1484
343	113026.0468
344	112977.1204
345	112920.6914
346	112850.7061
347	112783.9223
348	112749.4791
349	112710.2667
350	112627.1581
351	112564.9154
352	112498.7218
353	112456.4338
354	112359.1749
355	112279.3715
356	112234.2744
357	112160.2966
358	112085.2901
359	112008.8599
360	111941.8948
361	111874.7729
362	111799.1966
363	111734.4496
364	111685.2608
365	111612.1223
366	111518.9857
367	111481.3522
368	111423.4676
369	111342.9498
370	111296.006
371	111225.7739
372	111171.3224
373	111109.8218
374	111048.0949
375	110993.1589
376	110921.4827
377	110873.7846
378	110812.8933
379	110757.7154
380	110722.9079
381	110655.8497
382	110617.0929
383	110551.8697
384	110475.1027
385	110447.4443
386	110384.1212
387	110350.8162
388	110299.1843
389	110209.4321
390	110161.643
391	110074.5313
392	110008.0916
393	109931.4244
394	109891.9132
395	109848.7165
396	109829.7767
397	109796.7115
398	109732.1791
399	109685.3268
400	109615.5841
401	109545.0705
402	109525.0502
403	109454.2779
404	109387.9878
405	109322.3368
406	109289.1347
407	109225.0442
408	109171.2169
409	109115.6837
410	109048.1859
411	108996.0472
412	108942.3356
413	108893.2892
414	108813.6238
415	108751.9507
416	108684.4344
417	108608.9694
418	108576.1023
419	108504.7315
420	108427.84
421	108391.5787
422	108323.8977
423	108258.0993
424	108186.3116
425	108145.8393
426	108099.4599
427	108063.2306
428	108018.1909
429	107951.86
430	107888.3971
431	107852.7399
432	107798.9974
433	107745.7002
434	107683.221
435	107614.5937
436	107538.5837
437	107478.6975
438	107464.055
439	107403.3657
440	107322.1454
441	107262.5868
442	107225.4579
443	107161.6791
444	107085.9124
445	107017.2143
446	106962.6625
447	106911.8097
448	106848.8939
449	106790.3344
450	106720.3826
451	106670.7048
452	106638.938
453	106614.2347
454	106571.9983
455	106500.9614
456	106435.3282
457	106385.6749
458	106310.1745
459	106266.0195
460	106204.6909
461	106149.5021
462	106073.6225
463	106004.0045
464	105936.5329
465	105891.3284
466	105840.5506
467	105819.3614
468	105778.6915
469	105743.5125
470	105670.9928
471	105620.3623
472	105568.3396
473	105521.0329
474	105459.0193
475	105393.9307
476	105332.9941
477	105316.9753
478	105264.671
479	105213.1542
480	105147.2431
481	105097.6616
482	105032.0599
483	104958.9827
484	104888.7018
485	104852.2303
486	104825.9916
487	104786.2539
488	104728.0316
489	104663.4231
490	104608.1517
491	104572.7298
492	104525.9618
493	104460.4813
494	104415.799
495	104378.2948
496	104322.6091
497	104291.467
498	104245.6045
499	104202.3743
500	104168.3413
501	104113.7504
502	104056.9408
