iter	Passed	Remaining
0	52	1058957
1	60	604523
2	67	452849
3	75	377050
4	82	330184
5	90	299930
6	97	278815
7	105	264515
8	113	253042
9	121	242965
10	128	234414
11	136	227006
12	143	221288
13	151	216095
14	158	211275
15	164	205818
16	170	200975
17	176	196130
18	182	191813
19	188	187821
20	193	184301
21	199	181312
22	205	178483
23	211	175720
24	216	173160
25	222	170920
26	228	168808
27	233	166753
28	239	164816
29	244	163063
30	252	162518
31	259	162183
32	267	161998
33	275	161991
34	281	160720
35	287	159346
36	292	158069
37	298	156925
38	304	155733
39	309	154546
40	315	153504
41	320	152493
42	326	151564
43	332	150616
44	337	149837
45	344	149305
46	350	148722
47	355	147957
48	361	147325
49	367	146619
50	373	145950
51	379	145427
52	384	144763
53	390	144162
54	396	143710
55	402	143174
56	407	142622
57	413	142210
58	419	141740
59	425	141546
60	431	141095
61	437	140681
62	443	140229
63	449	139873
64	462	141798
65	469	141695
66	476	141877
67	482	141494
68	489	141265
69	494	140831
70	500	140399
71	505	140004
72	511	139636
73	517	139261
74	522	138848
75	528	138496
76	534	138240
77	539	137887
78	545	137550
79	550	137188
80	556	136883
81	562	136513
82	567	136180
83	573	135861
84	578	135517
85	583	135222
86	589	134927
87	595	134654
88	600	134413
89	606	134237
90	612	133930
91	617	133672
92	624	133580
93	629	133340
94	635	133075
95	641	132905
96	647	132820
97	655	133023
98	662	133247
99	670	133512
100	676	133258
101	684	133437
102	690	133400
103	696	133188
104	701	132988
105	707	132751
106	712	132527
107	718	132354
108	724	132232
109	730	132047
110	735	131857
111	741	131673
112	747	131488
113	752	131298
114	758	131108
115	763	130949
116	770	130948
117	777	130931
118	783	130935
119	789	130749
120	794	130600
121	801	130670
122	808	130681
123	814	130515
124	819	130337
125	825	130185
126	831	130060
127	836	129939
128	842	129760
129	850	129942
130	856	129833
131	861	129666
132	870	130097
133	879	130342
134	886	130500
135	893	130508
136	902	130790
137	907	130681
138	914	130683
139	921	130757
140	927	130685
141	933	130520
142	939	130442
143	945	130323
144	950	130184
145	956	130081
146	963	130109
147	970	130134
148	975	129995
149	981	129866
150	986	129735
151	992	129639
152	998	129496
153	1003	129344
154	1009	129205
155	1014	129071
156	1020	128924
157	1026	128847
158	1031	128693
159	1036	128551
160	1042	128421
161	1048	128380
162	1054	128362
163	1063	128665
164	1071	128861
165	1078	128892
166	1084	128804
167	1090	128685
168	1095	128581
169	1101	128481
170	1107	128379
171	1112	128284
172	1118	128173
173	1123	128060
174	1129	127949
175	1135	127878
176	1140	127761
177	1146	127651
178	1151	127549
179	1159	127664
180	1166	127736
181	1173	127733
182	1178	127667
183	1184	127567
184	1190	127490
185	1196	127423
186	1201	127311
187	1207	127225
188	1212	127129
189	1218	127065
190	1224	126982
191	1230	126908
192	1235	126805
193	1241	126702
194	1248	126760
195	1254	126711
196	1260	126753
197	1267	126752
198	1273	126752
199	1279	126698
200	1285	126600
201	1290	126523
202	1296	126439
203	1302	126345
204	1307	126243
205	1313	126167
206	1318	126079
207	1324	125998
208	1329	125922
209	1335	125841
210	1340	125737
211	1346	125691
212	1352	125613
213	1358	125564
214	1363	125482
215	1369	125431
216	1374	125348
217	1380	125293
218	1386	125239
219	1392	125157
220	1397	125079
221	1403	125028
222	1408	124951
223	1414	124882
224	1420	124834
225	1426	124796
226	1431	124731
227	1437	124654
228	1443	124627
229	1453	124964
230	1459	124915
231	1466	124914
232	1471	124843
233	1477	124790
234	1483	124733
235	1488	124670
236	1494	124597
237	1499	124529
238	1505	124478
239	1510	124398
240	1516	124355
241	1522	124290
242	1527	124217
243	1533	124132
244	1538	124083
245	1544	124008
246	1549	123941
247	1555	123920
248	1561	123857
249	1567	123819
250	1572	123750
251	1578	123679
252	1583	123602
253	1589	123542
254	1594	123492
255	1600	123458
256	1606	123401
257	1611	123341
258	1617	123290
259	1623	123229
260	1628	123169
261	1634	123103
262	1639	123046
263	1645	122988
264	1651	123003
265	1657	122986
266	1663	122962
267	1671	123041
268	1676	122996
269	1682	122967
270	1690	123055
271	1696	123020
272	1701	122971
273	1707	122906
274	1712	122853
275	1718	122795
276	1723	122747
277	1729	122690
278	1734	122630
279	1740	122586
280	1746	122550
281	1752	122505
282	1757	122454
283	1764	122478
284	1769	122421
285	1775	122373
286	1780	122319
287	1786	122264
288	1791	122211
289	1797	122179
290	1803	122126
291	1808	122074
292	1814	122027
293	1819	121975
294	1825	121915
295	1830	121865
296	1836	121819
297	1841	121765
298	1847	121733
299	1854	121776
300	1863	121979
301	1870	121991
302	1876	121969
303	1882	121935
304	1887	121900
305	1893	121867
306	1899	121816
307	1904	121773
308	1910	121719
309	1915	121684
310	1921	121642
311	1927	121621
312	1933	121589
313	1939	121569
314	1944	121536
315	1950	121502
316	1956	121465
317	1962	121435
318	1967	121373
319	1972	121332
320	1978	121304
321	1984	121264
322	1990	121233
323	1996	121231
324	2001	121183
325	2007	121135
326	2012	121098
327	2018	121068
328	2024	121044
329	2030	121010
